experiment_dir,num,hosts,switches,seed,k,down_interval,down_duration,down_count,down_stagger,down_exclude,cache_count,get_interval,filename,host_id,content_id,file_seed,down_hosts,get_idx,phase,cycle,timestamp,uri,rnp,rx_frames_all,rx_frames_contentobject,rx_bytes_all,rx_bytes_contentobject,duration,throughput,goodput,jitter_ave,jitter_max,jitter_var,success
ex15_seed42,15,20,100,42,2,0,0,0,0,,0,10,"cefsubfile_seed42_downhosts1,2,3,4,5,6_phaseeval_cycle0_idx3_h7.log",7,,42,"1,2,3,4,5,6",3,eval,0,,,0xaab443f7659568af3ba3f85148e3972e,83,83,173680,169198,0.03,48569930,47316530,344,8263,784132,True
ex15_seed42,15,20,100,42,2,0,0,0,0,,0,10,"cefsubfile_seed42_downhosts1,2,3,4,5_phaseeval_cycle0_idx2_h16.log",16,,42,"1,2,3,4,5",2,eval,0,,,0xaab443f7659568af3ba3f85148e3972e,212,212,444838,433390,0.053,67844282,66098295,247,3522,56533,True
ex15_seed42,15,20,100,42,2,0,0,0,0,,0,10,"cefsubfile_seed42_downhosts1,2,3_phaseeval_cycle0_idx1_h16.log",16,,42,"1,2,3",1,eval,0,,,0xf6b31442650f16a94a634ccf81468270,200,200,419614,408814,0.06,57230496,55757501,293,18157,1606892,True
ex15_seed42,15,20,100,42,2,0,0,0,0,,0,10,"cefsubfile_seed42_downhosts1,2_phaseeval_cycle0_idx0_h3.log",3,,42,"1,2",0,eval,0,,,,,,,,,,,,,,True
