experiment_dir,num,hosts,switches,seed,k,down_interval,down_duration,down_count,down_stagger,down_exclude,cache_count,get_interval,filename,host_id,content_id,file_seed,down_hosts,get_idx,phase,cycle,timestamp,uri,rnp,rx_frames_all,rx_frames_contentobject,rx_bytes_all,rx_bytes_contentobject,duration,throughput,goodput,jitter_ave,jitter_max,jitter_var,success
ex16_seed42,16,20,100,42,2,0,0,0,0,,0,10,"cefsubfile_seed42_downhosts1,2,3_phaseeval_cycle0_idx2_h16.log",16,,42,"1,2,3",2,eval,0,,,0x27a3ad1964eb7f93bad19e97787dd41b,187,187,393074,382976,0.06,53419495,52047157,314,7105,254752,True
ex16_seed42,16,20,100,42,2,0,0,0,0,,0,10,"cefsubfile_seed42_downhosts1,2,3_phaseeval_cycle0_idx3_h7.log",7,,42,"1,2,3",3,eval,0,,,0x27a3ad1964eb7f93bad19e97787dd41b,212,212,445624,434176,0.043,85384939,83191415,196,9172,389872,True
ex16_seed42,16,20,100,42,2,0,0,0,0,,0,10,"cefsubfile_seed42_downhosts1,2_phaseeval_cycle0_idx1_h16.log",16,,42,"1,2",1,eval,0,,,0xb2159c4eba60d85990d9f0e9bd3e5396,160,160,335534,326894,0.038,71773897,69925719,233,7442,328677,True
ex16_seed42,16,20,100,42,2,0,0,0,0,,0,10,cefsubfile_seed42_downhosts1_phaseeval_cycle0_idx0_h3.log,3,,42,1,0,eval,0,,,,,,,,,,,,,,True
